Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
54	-63.06637	31.735474	-17.02453	-169.01598	207.78	41.879726	322.0	110.0	-65.36009	10.451653	-44.98267	-138.89836	2816000	-2.3499915e-08	946.05853	-0.0036622798	-42.04834	1.6635718	0.0017464667	0.026037155	79.0	-13.153687	74.54764	59.841034	13651.066282987595
55	-65.78427	32.147392	-17.935606	-160.10382	204.57	42.29048	346.0	128.0	-66.30065	13.693552	-30.288258	-162.8188	2867200	-6.7130617e-09	954.35236	-0.003164634	-41.535217	1.6656585	0.002740644	0.02605465	79.0	-14.319075	77.96829	60.98028	13926.308318853378
56	-68.26195	32.641243	-15.603128	-153.32973	208.28	42.162327	315.0	106.0	-67.71455	12.849703	-31.147146	-183.84512	2918400	1.5751102e-08	981.34326	-0.002638867	-37.70941	1.6070186	0.0015048953	0.016852314	79.0	-16.908627	81.75289	60.67261	14205.135795116425
57	-60.160645	28.58729	-13.651375	-183.78319	193.04	39.044056	323.0	116.0	-69.69347	10.046475	-42.573235	-153.22444	2969600	-1.6599387e-08	777.9985	-0.0042103417	-90.58362	1.648186	0.0015911226	0.027818069	79.0	-13.943162	71.13632	51.483185	14468.46916794777
58	-64.39223	35.19113	-11.634627	-227.40762	209.26	43.207783	342.0	143.0	-61.5452	9.552547	-43.990494	-179.48633	3020800	1.1666856e-08	1298.5967	-0.003593743	-157.05432	1.594893	0.0030576936	0.033546783	79.0	-17.87937	68.94283	55.95935	14749.118543863297
59	-66.79854	30.856659	-21.451742	-158.62698	204.72	39.31694	327.0	127.0	-68.162964	16.342772	-34.36401	-183.64456	3072000	1.1925588e-08	947.79016	-0.0026374897	-77.52777	1.6767987	0.0018408073	0.019001564	79.0	-15.364514	70.1708	61.321983	15024.328975915909
60	-68.46479	32.924187	-22.901747	-171.37921	201.48	39.26003	312.0	112.0	-68.66211	10.750566	-39.848614	-147.61467	3123200	5.149879e-08	1097.3242	-0.002849475	-45.185303	1.6276988	0.001320391	0.01697439	79.0	-16.736343	74.148254	61.686535	15295.593813180923
61	-62.346325	33.49118	-13.366114	-184.04402	206.46	40.364197	343.0	138.0	-70.55552	11.050806	-40.032997	-170.67845	3174400	3.6953377e-08	1067.1058	-0.003622925	-64.70703	1.5912448	0.0017653019	0.026494237	79.0	-15.512306	70.73012	58.176918	15572.52580857277
62	-66.2251	37.923843	-17.994837	-248.4136	204.64	40.258297	323.0	140.0	-65.18409	13.429753	-27.536493	-220.6	3225600	4.3992795e-08	1348.4861	-0.004526906	-126.3844	1.5361824	0.0021419185	0.030150509	79.0	-15.737855	72.56798	60.644936	15847.964324951172
63	-65.43619	32.47282	-25.449366	-145.61385	205.26	40.728767	330.0	121.0	-66.74748	14.001759	-39.413387	-197.90685	3276800	-5.055041e-08	1013.761	-0.0034567453	-61.52423	1.5842712	0.002622777	0.02879275	79.0	-17.814045	73.69724	53.832603	16123.382640600204
64	-71.594025	33.240406	-23.231274	-168.64786	214.49	36.67165	320.0	143.0	-68.64022	12.859344	-40.17988	-154.28833	3328000	3.4147135e-08	1112.7505	-0.003086591	-107.857666	1.5220108	0.0021786164	0.026947644	79.0	-14.726653	79.658325	71.26377	16410.82606124878
65	-65.57972	37.844677	-19.582525	-272.54376	212.92	36.929302	313.0	140.0	-73.56885	11.006721	-40.442986	-167.34825	3379200	-1.1466308e-08	1437.0348	-0.0033180085	-146.21558	1.5340316	0.002646249	0.023905693	79.0	-15.69885	76.896774	60.733173	16696.290360689163
