Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
31	-304.08408	424.37946	-1.1965356	-2714.0972	256.0	0.0	256.0	256.0	-362.90292	380.3957	-69.23582	-5003.3022	819200	-3.5762786e-09	113547.12	-0.0039818357	-24461.336	1.3722833	0.0018663025	0.023203125	79.0	116.51783	516.6511	432.94193	7328.0130887031555
32	-392.46008	648.91223	-1.3678563	-3538.6099	256.0	0.0	256.0	256.0	-342.23785	381.11624	-135.8707	-3464.018	844800	3.5762786e-09	198956.72	-0.0032677439	-32164.156	1.4370118	0.0017239425	0.019921875	79.0	131.67294	777.2351	534.0696	7549.014733552933
33	-322.1999	559.2837	-1.391553	-3191.2068	256.0	0.0	256.0	256.0	-342.19348	406.0721	-123.73123	-3790.128	870400	3.5762786e-09	151415.14	-0.0036526942	-9797.516	1.2832193	0.002954829	0.032890625	79.0	52.71012	475.51266	393.8245	7772.181910037994
34	-420.02606	731.6737	-1.0004466	-3779.3381	256.0	0.0	256.0	256.0	-376.4569	571.7334	-112.463234	-4147.6763	896000	3.5762786e-09	184139.56	-0.002831919	-24111.844	1.290858	0.0024590644	0.023671875	79.0	115.18545	677.78735	559.69104	7995.062190532684
35	-283.76895	439.06882	-1.391553	-2805.0608	256.0	0.0	256.0	256.0	-329.12585	412.01865	-95.13292	-3862.0222	921600	3.8743018e-09	111388.59	-0.0031662583	-20477.273	1.2437587	0.0019203902	0.024921875	79.0	117.21082	451.90875	461.27814	8218.347392082214
36	-410.2491	616.0635	-1.0265714	-3042.2778	256.0	0.0	256.0	256.0	-327.15536	403.14972	-88.17298	-4411.857	947200	8.34465e-09	203135.16	-0.002526566	-20903.203	1.3507683	0.0023601654	0.018085938	79.0	116.701805	714.96423	585.5269	8443.500822544098
37	-277.2995	335.81772	-1.391553	-2037.1924	256.0	0.0	256.0	256.0	-339.53986	304.81522	-81.912315	-3068.5308	972800	-8.34465e-09	74744.0	-0.00316069	-13873.391	1.3420486	0.002298429	0.021835938	79.0	15.282518	394.39774	317.50012	8661.981382608414
38	-357.70197	541.1258	-1.391553	-2822.7117	256.0	0.0	256.0	256.0	-300.35522	293.38092	-109.59319	-2972.2961	998400	-1.1920929e-08	155433.05	-0.0032728314	-19641.469	1.2477602	0.0022128092	0.023359375	79.0	107.20884	599.8772	495.63602	8881.663758039474
39	-306.871	471.66696	-1.0137264	-3160.546	256.0	0.0	256.0	256.0	-327.12872	319.2354	-97.23541	-3343.179	1024000	-4.7683715e-09	127406.8	-0.00413841	-12874.5	1.293008	0.0027934366	0.027851563	79.0	76.22901	481.2852	416.92603	9110.708974838257
40	-311.18723	455.3361	-1.1965457	-2450.9165	256.0	0.0	256.0	256.0	-309.78976	347.72214	-57.37476	-4084.7568	1049600	-4.7683715e-09	131162.88	-0.0032347562	-16297.695	1.2000462	0.0025887422	0.029453125	79.0	55.63436	480.30005	395.02487	9344.581246614456
41	-402.0545	574.8879	-1.383185	-2850.8594	256.0	0.0	256.0	256.0	-341.33743	346.99197	-107.152306	-3023.3833	1075200	-5.9604646e-09	171229.72	-0.0035042076	-26519.156	1.3787329	0.0018096274	0.028789062	79.0	11.648253	680.7381	456.45105	9578.171198368073
42	-306.85522	563.9106	-1.000883	-3465.7322	256.0	0.0	256.0	256.0	-343.94656	388.9596	-139.28662	-3864.7944	1100800	-2.3841857e-09	144653.16	-0.0033132865	-13402.0625	1.2164237	0.0018708542	0.022265624	79.0	77.30487	519.92206	400.11835	9804.277569770813
43	-264.344	327.36795	-1.6916142	-1685.2317	256.0	0.0	256.0	256.0	-267.4705	236.53156	-118.12415	-2931.6843	1126400	-2.9802322e-10	91900.56	-0.0032623273	-14873.898	1.2555904	0.0020599228	0.021757813	79.0	-39.285336	327.1927	239.90938	10034.87159895897
